,cluster,convrs,vec,distance,token
0,0,둘 다 너무 재고  생각하고   뭘 못 하니까 둘 중 하나라도 하라는 거지,"[-0.06283973  0.10290022 -0.21108486 -0.05847113 -0.05509488  0.01333408
 -0.15143146  0.1466778  -0.0127498   0.10513524  0.00631626 -0.03236433
  0.02832884  0.09745937  0.11364926 -0.01725379 -0.06361586 -0.13443874
  0.0477512  -0.02978203  0.0415912  -0.08795541 -0.04343348  0.0847299
 -0.01855179 -0.03911698  0.18354183  0.04019591  0.09282517 -0.00685089
 -0.01826321 -0.02512556  0.12447149  0.04581285 -0.02351071  0.13538876
  0.04767554  0.02760914 -0.02953276  0.05276896  0.00511365  0.1411841
  0.01231401  0.03055652  0.01739548 -0.01188412  0.13321067 -0.03880088
 -0.06841802  0.03112818  0.0911609  -0.01039204 -0.04778167  0.10233951
  0.04902387  0.01289099  0.08592118  0.06724685 -0.03890257  0.03412264
 -0.04084039  0.02675212  0.0257495  -0.05474925  0.01064807  0.0863642
  0.00730977  0.08941821  0.15276134  0.02383015  0.13300069 -0.03985323
  0.13536695 -0.06726448  0.03146449  0.05168144 -0.10016965  0.10428049
  0.1460479  -0.02231546 -0.06219806 -0.10638297  0.03724917 -0.01642741
 -0.0378523  -0.08931486 -0.0198923   0.07330874  0.2041994  -0.05196498
  0.04551787 -0.02044466 -0.02938259 -0.16398746  0.04037827  0.19509815
  0.02649477  0.01185921  0.02935593 -0.04279521]",0.0417848655190378,"['재고', '생각']"
1,0,우리가 건강하면 애들도 좀 봐주면서  충분히 사는 데는 무리가 없지 않겠어,"[-0.06660101  0.09199152 -0.20820715 -0.05555054 -0.05039139  0.01044797
 -0.15806183  0.1400818  -0.01488574  0.10063586  0.00694638 -0.02129357
  0.02800633  0.10679527  0.11595691 -0.02210569 -0.06731884 -0.13638665
  0.04444142 -0.03273006  0.0395302  -0.07693698 -0.05126886  0.07829993
 -0.01394757 -0.03837492  0.17514466  0.03870811  0.09151071 -0.00494323
 -0.02636188 -0.0215382   0.12546977  0.03409952 -0.03597761  0.13083819
  0.03701363  0.0276388  -0.03644531  0.05296636  0.00406384  0.13828084
  0.01074469  0.02675869  0.02454988 -0.01674007  0.13211945 -0.03031416
 -0.0583161   0.03008617  0.09830055 -0.0083046  -0.04648888  0.10373309
  0.0512289   0.00910348  0.08884565  0.06404828 -0.03437139  0.03483757
 -0.04181758  0.02732852  0.01368507 -0.05164764  0.02535589  0.09261555
  0.00791008  0.08457551  0.14172229  0.02620759  0.13462855 -0.04019342
  0.13929953 -0.06746408  0.02591585  0.05512489 -0.09438242  0.09786858
  0.14198916 -0.02359177 -0.0588553  -0.11005893  0.03554504 -0.02499562
 -0.04010629 -0.08952282 -0.01519068  0.0788965   0.20538543 -0.05251
  0.05100715 -0.02426877 -0.02932489 -0.16337055  0.05039984  0.19936854
  0.02698685  0.01724201  0.023192   -0.04801296]",0.04907112020424075,"['건강', '무리']"
2,0,그러다가 사장님 되는 거 아니야 아까 나한테 연금 있냐고 물어봤잖아,"[-0.06808341  0.09424923 -0.21860941 -0.05326273 -0.05379645  0.01041619
 -0.15704839  0.14570543 -0.00876586  0.10143788 -0.00300469 -0.03426522
  0.02644727  0.09542868  0.1195676  -0.02570684 -0.0664915  -0.14192764
  0.04770772 -0.03238317  0.03963092 -0.08450221 -0.05316806  0.07513291
 -0.01602569 -0.04192217  0.17588033  0.04379532  0.09052081  0.00202029
 -0.02276235 -0.02876276  0.1266609   0.03691668 -0.02525093  0.13921338
  0.03590995  0.02066857 -0.03600096  0.06341186  0.01566469  0.1456834
  0.01319565  0.02279188  0.02418762 -0.01355122  0.11900222 -0.03200839
 -0.06889197  0.04046208  0.10103951 -0.00046287 -0.04324146  0.10364179
  0.04072053  0.01898436  0.08751564  0.07325166 -0.03442131  0.02998221
 -0.04669834  0.03196204  0.01410463 -0.04814298  0.02222444  0.09040928
  0.01497915  0.08954203  0.14800529  0.01628442  0.13249935 -0.04669833
  0.1336431  -0.06915904  0.02865213  0.06125578 -0.09162416  0.09016423
  0.14959617 -0.02355261 -0.05674963 -0.09792069  0.03806002 -0.01432265
 -0.03278888 -0.09444664 -0.01049665  0.07963911  0.21117063 -0.03983432
  0.04189738 -0.01811538 -0.03507597 -0.16140234  0.04638283  0.19916995
  0.03421831  0.01892244  0.03641153 -0.03880998]",0.04911726853069255,"['사장', '연금']"
3,0,나는 내가 지끔 태양광을 한 것이 진짜 신의 한 수라고 생각하고 있어,"[-0.06557693  0.10253073 -0.20486014 -0.05100856 -0.0437135   0.01166333
 -0.14629075  0.1547468  -0.01406185  0.10041411  0.00203803 -0.03585542
  0.03568791  0.10294279  0.11390617 -0.02314285 -0.06661716 -0.12877974
  0.05260991 -0.02948484  0.03876109 -0.08268237 -0.04159294  0.08458727
 -0.00954724 -0.04183811  0.17984137  0.03799345  0.09052599 -0.00272032
 -0.0223439  -0.01698511  0.11995681  0.04234917 -0.03330509  0.12657583
  0.04171651  0.0327116  -0.03497246  0.0547328   0.00880356  0.1327678
  0.02336331  0.02508869  0.01431324 -0.01239253  0.12777117 -0.041821
 -0.06489566  0.02942559  0.10183296 -0.01136304 -0.0365364   0.10165328
  0.04822958  0.01106291  0.08357483  0.06377921 -0.02983421  0.03400636
 -0.04309651  0.02675908  0.01502637 -0.04578732  0.01997125  0.09029774
  0.01012873  0.08622281  0.14178999  0.02774724  0.13001046 -0.04304867
  0.14300153 -0.06649341  0.03307064  0.05887522 -0.09475778  0.0935002
  0.14315346 -0.01623114 -0.06126775 -0.10198335  0.04295969 -0.01637528
 -0.02726542 -0.09737815 -0.01217186  0.08235195  0.20897974 -0.03976924
  0.05544425 -0.01354134 -0.04043189 -0.16236599  0.03174353  0.19944505
  0.02441994  0.01574959  0.02711715 -0.04535308]",0.04984292761966983,"['태양광', '생각']"
4,0,작은  조금씩 조금씩 돈이 들어가도 사 놔야  것 같아,"[-0.06022272  0.08594017 -0.21385044 -0.05477135 -0.0517517   0.01904855
 -0.1468523   0.14693186 -0.01473586  0.09336298 -0.00661649 -0.03478924
  0.0263767   0.10345437  0.11172438 -0.01560964 -0.06038998 -0.13008365
  0.03359769 -0.03263917  0.03681281 -0.08172282 -0.05432043  0.07498626
 -0.00440696 -0.03041898  0.1722272   0.04084928  0.095081   -0.01845238
 -0.01990347 -0.02042414  0.12313055  0.04314525 -0.02157617  0.13154124
  0.04247933  0.03137235 -0.02712137  0.06076198 -0.0013329   0.1442636
  0.01472341  0.03401076  0.0190678  -0.01578108  0.12632751 -0.03502077
 -0.05620944  0.03215439  0.08571578 -0.00559804 -0.04039727  0.09752031
  0.05138779  0.02218003  0.09398148  0.06949791 -0.04176946  0.02761459
 -0.03984064  0.02348181  0.0249534  -0.03817613  0.02240958  0.07587807
  0.01497522  0.09089135  0.15152252  0.01630432  0.1313168  -0.03480962
  0.12539192 -0.05880219  0.02666024  0.0492666  -0.08998383  0.09986826
  0.13515487 -0.01738675 -0.06299841 -0.09580214  0.05125592 -0.01883778
 -0.0392465  -0.09365854 -0.01485106  0.07735452  0.21059988 -0.03861301
  0.02692653 -0.0212287  -0.03491772 -0.1656429   0.043952    0.18817408
  0.02597862  0.01805446  0.02113613 -0.03953523]",0.05025030818054957,['조금']
5,0,너무 멀리가게 되면  물론 뭐 금전적인 문제로 봐서는  멀리 가는 게 맞지만,"[-0.0676322   0.09523793 -0.2230904  -0.03909999 -0.05754552  0.02547442
 -0.15823743  0.15223293 -0.00792952  0.09641314  0.00692429 -0.02278969
  0.03319895  0.10419539  0.11415763 -0.01688741 -0.06655575 -0.13170554
  0.04143929 -0.02832406  0.03030966 -0.09170043 -0.0414097   0.08175758
 -0.00956501 -0.03586201  0.1741764   0.03879399  0.08936802 -0.01568429
 -0.01399287 -0.02947247  0.12284508  0.04117313 -0.02424077  0.12946299
  0.05027534  0.0322652  -0.03414814  0.05527553  0.00934405  0.13899972
  0.01598937  0.02894269  0.02461329 -0.01340372  0.12451229 -0.03314355
 -0.06218187  0.03012178  0.0895889  -0.0083079  -0.0463723   0.11309668
  0.04439087  0.01390392  0.09402162  0.06752531 -0.03949045  0.03217061
 -0.04493367  0.02702461  0.01409882 -0.0465371   0.0200821   0.0873076
  0.00372478  0.09025428  0.14878242  0.01438558  0.14044541 -0.04340031
  0.12878567 -0.07171164  0.03303429  0.06225343 -0.091276    0.1021632
  0.13893026 -0.02521403 -0.06218177 -0.1051275   0.04406508 -0.02604795
 -0.03440208 -0.08686762 -0.01519369  0.08467443  0.20975138 -0.03831081
  0.05245123 -0.0173039  -0.04193129 -0.15531227  0.03523065  0.19190635
  0.02497829  0.00696431  0.03171436 -0.03555621]",0.05052362472846815,"['금전', '문제']"
6,0,그건 지금 급하게 생각해야 될 일은 아니고  차차 조금씩 생각해 봅시다,"[-0.0650695   0.09399882 -0.20034687 -0.0567822  -0.04568622  0.00810253
 -0.1422914   0.14360449 -0.01090374  0.09313612  0.00957387 -0.02834289
  0.03181541  0.09622115  0.10982127 -0.01540763 -0.07280467 -0.13099553
  0.05125513 -0.0297865   0.04428404 -0.08688914 -0.04059269  0.07892364
 -0.00715149 -0.03607655  0.16836742  0.03667331  0.09435749 -0.00428852
 -0.02867182 -0.02010513  0.12589075  0.04754576 -0.02473832  0.12034887
  0.04570702  0.04247129 -0.02937833  0.0596296   0.00783913  0.140609
  0.0199297   0.03279741  0.01926528 -0.00938302  0.12421238 -0.03924395
 -0.06287994  0.02738412  0.09548033 -0.0061092  -0.03616999  0.09800284
  0.04605781  0.01013375  0.08741942  0.06861829 -0.03706896  0.02971305
 -0.04341394  0.02134325  0.02265538 -0.04321023  0.01255634  0.08981812
  0.01033227  0.08856922  0.1446322   0.02502052  0.12396158 -0.04160402
  0.13764392 -0.0584021   0.02615828  0.06007969 -0.09285977  0.09551349
  0.13945276 -0.02654292 -0.0636572  -0.09881617  0.03816869 -0.01775579
 -0.03264492 -0.08705418 -0.01329558  0.08103506  0.20394783 -0.04483239
  0.05068026 -0.01480398 -0.03356903 -0.16309546  0.03588201  0.19689476
  0.02868386  0.02224383  0.02040231 -0.04637443]",0.05060976824766195,"['급하', '생각', '생각']"
7,0,솔직히 돈이 아무리 많이 있어도  마음 먹고 쓰려고 하면 금방 사라질 거라고,"[-0.05757909  0.09442607 -0.22156298 -0.05032518 -0.04855596  0.00771283
 -0.15592065  0.16051896 -0.01107242  0.10036685  0.00056589 -0.02276747
  0.03272054  0.10706636  0.11221258 -0.01709997 -0.06871261 -0.13977675
  0.05095311 -0.027209    0.04306732 -0.08352045 -0.04775445  0.08158541
 -0.01779827 -0.04461655  0.18181014  0.04113707  0.09582385 -0.00790745
 -0.02737165 -0.0179148   0.12818137  0.03283759 -0.03353783  0.1253637
  0.03707957  0.03133772 -0.03814929  0.06491706  0.01132081  0.14530332
  0.01445275  0.02598011  0.02902469 -0.00842358  0.11822751 -0.03119021
 -0.06223976  0.0413422   0.10314788 -0.01104525 -0.04898661  0.09967875
  0.05163626  0.01996878  0.09660898  0.06736    -0.04124803  0.02915266
 -0.03874519  0.02698718  0.02703866 -0.04110694  0.01957405  0.08369441
  0.0121782   0.09722125  0.14810283  0.02870176  0.13507323 -0.04153461
  0.13044204 -0.06893162  0.02742913  0.05242611 -0.09345786  0.10034405
  0.14784123 -0.02145096 -0.06094029 -0.10964838  0.04775604 -0.02206611
 -0.03101659 -0.10020955 -0.00784853  0.08144564  0.21303348 -0.05503975
  0.03825678 -0.01340687 -0.03496743 -0.16677113  0.04349712  0.20126337
  0.02514484  0.02046157  0.02837237 -0.04429851]",0.05076965873059326,['마음']
8,0,이제 손주들이  좋기는 좋지  ,"[-0.06444401  0.10122038 -0.21420513 -0.05579604 -0.0448953   0.0202236
 -0.14897309  0.14985862 -0.00928663  0.10043438  0.00943195 -0.02968575
  0.03050645  0.10282846  0.11318522 -0.02639224 -0.06660061 -0.12920047
  0.04300032 -0.03560214  0.04257216 -0.08147235 -0.04177926  0.08402673
 -0.01813632 -0.0331737   0.17255414  0.0321555   0.08666126 -0.01144403
 -0.02424919 -0.01788666  0.12577428  0.04172544 -0.02387637  0.12595484
  0.04457324  0.02727393 -0.03707277  0.05545773  0.00873994  0.13229077
  0.0092153   0.02837928  0.02762087 -0.0230704   0.11564254 -0.04206365
 -0.06082154  0.02891936  0.0918328   0.00271796 -0.03622164  0.10217474
  0.04466798  0.00650593  0.08318925  0.07191627 -0.03975632  0.02816229
 -0.04512491  0.02494389  0.02906542 -0.05479909  0.02025988  0.08880963
  0.0138846   0.09105814  0.13370287  0.01574888  0.11970553 -0.03400623
  0.13782734 -0.0659999   0.02948962  0.05967327 -0.09495469  0.08678667
  0.13914195 -0.02676029 -0.06043622 -0.0970027   0.03824037 -0.01908196
 -0.03605447 -0.09170417 -0.01759305  0.07946511  0.20902506 -0.03691325
  0.05287546 -0.01434177 -0.03338321 -0.15252967  0.04500376  0.19195387
  0.02412079  0.00969447  0.02977526 -0.04044941]",0.05184767011255253,['손주']
9,0,나중에 집이나 유학이라도 가려면 조금 보태줘야 되고  안 ,"[-0.05797146  0.09187035 -0.20261765 -0.05284327 -0.04808512  0.01584033
 -0.15082465  0.13978074 -0.0154471   0.09683517 -0.0032614  -0.03450519
  0.0279036   0.09956173  0.10171596 -0.02135953 -0.06122215 -0.11898356
  0.03684127 -0.0320143   0.04456317 -0.08197881 -0.04391006  0.07736804
 -0.01241271 -0.0414002   0.17455316  0.03613275  0.08829356 -0.01692135
 -0.02803107 -0.02080791  0.11310456  0.03589844 -0.03139569  0.12472508
  0.04093505  0.03073448 -0.03873979  0.05046267 -0.00252283  0.12866859
  0.01174442  0.02597108  0.02357716 -0.01781481  0.12382589 -0.03651183
 -0.05449586  0.02553009  0.08691444  0.00043728 -0.04830409  0.09640582
  0.04687053  0.01239749  0.08113303  0.06942712 -0.04106683  0.02697143
 -0.0380987   0.02581684  0.02628008 -0.05019435  0.01332936  0.08652323
  0.00364772  0.09352695  0.14933725  0.01875028  0.1251729  -0.04566811
  0.13156992 -0.05895675  0.02609215  0.04392842 -0.08500266  0.09978344
  0.12770088 -0.02539569 -0.048802   -0.09344424  0.04418301 -0.01652822
 -0.03406345 -0.09395058 -0.01850677  0.07770127  0.20225288 -0.04805316
  0.03925927 -0.02163858 -0.03887505 -0.15798843  0.0334307   0.19137344
  0.02192847  0.00817558  0.02817024 -0.03020371]",0.052368535284685595,"['나중', '유학']"
10,0,나는 또 생각이 달라 왜냐하면 내가 쉽게 할 수 있는 일을 선택했거든,"[-0.06371275  0.09471711 -0.2069503  -0.05634369 -0.04922871  0.01963265
 -0.15966429  0.14143856 -0.00937244  0.09918056 -0.00335986 -0.02491284
  0.0324866   0.09756613  0.10724935 -0.02784927 -0.06358983 -0.13622406
  0.04569799 -0.02912249  0.04782403 -0.08943863 -0.05464806  0.08206392
 -0.02301999 -0.04469417  0.17177512  0.04737629  0.09958462 -0.01113871
 -0.02001636 -0.02969701  0.13126929  0.04012559 -0.03071466  0.13569042
  0.04572914  0.03522293 -0.02864814  0.05768142  0.0121752   0.13531624
  0.01079522  0.03507175  0.01953522 -0.01900101  0.1279677  -0.03688871
 -0.06365573  0.03564174  0.09764921 -0.0043241  -0.03879612  0.10179672
  0.04543208  0.01842717  0.08620287  0.06176279 -0.03273223  0.03783296
 -0.0468349   0.02341857  0.02263099 -0.05456271  0.01538924  0.09174203
  0.01178289  0.08200275  0.1516726   0.02318143  0.1303518  -0.04403095
  0.14219542 -0.07403468  0.0247864   0.05221754 -0.10471752  0.10035603
  0.14117792 -0.01315385 -0.05701713 -0.1086065   0.03891343 -0.01271112
 -0.02910588 -0.09135311 -0.01619565  0.08249172  0.21298315 -0.05015511
  0.04981547 -0.02129396 -0.031185   -0.1601727   0.03315717  0.1983454
  0.0271317   0.01196308  0.03843446 -0.05008293]",0.05241197076890022,"['생각', '선택']"
11,0,그냥 뒷받침을 하면 되는 거지 내가 어떻게 해 주겠다 이것은 아니지 요즘은,"[-0.05463784  0.0941827  -0.20838279 -0.04360242 -0.05059094  0.01701324
 -0.15046258  0.1411907  -0.01522526  0.10417496 -0.00087133 -0.02829559
  0.02834515  0.1021581   0.1117492  -0.01596767 -0.06711054 -0.13790458
  0.03806261 -0.03661903  0.04379738 -0.08829165 -0.05345256  0.08224174
 -0.00827381 -0.04230396  0.16931547  0.04716709  0.08181028 -0.01384608
 -0.02755828 -0.030487    0.1195393   0.04304323 -0.0322619   0.12080374
  0.04807994  0.02857777 -0.03549059  0.0641236   0.01302758  0.13348146
  0.02370549  0.02936726  0.02261631 -0.0172906   0.12546894 -0.03315172
 -0.05398303  0.03519683  0.09452945 -0.00878058 -0.03925991  0.08874331
  0.04126175  0.0206221   0.08058589  0.06445932 -0.02981179  0.02725601
 -0.0379994   0.02106311  0.02570114 -0.05185949  0.01892381  0.07793792
  0.0069689   0.08942953  0.1485945   0.02042956  0.1210324  -0.04996765
  0.12042479 -0.06379949  0.02554142  0.06106866 -0.08898725  0.08452551
  0.14020732 -0.01818047 -0.05247099 -0.1048721   0.04092546 -0.01736153
 -0.02528394 -0.09806165 -0.00465194  0.07437814  0.20040403 -0.04000866
  0.03213242 -0.01452522 -0.04362879 -0.15398946  0.04772913  0.18893425
  0.02967052  0.0032775   0.02002229 -0.03834107]",0.054481021482002005,"['뒷받침', '요즘']"
12,0,그때 시절하면 새록새록 옛날 생각도 나고  우리 지금 몇 년째야,"[-0.06666776  0.10115824 -0.21945857 -0.04363897 -0.06065925  0.01286692
 -0.15497445  0.14135979 -0.01576804  0.10784372  0.00296625 -0.03058542
  0.03904913  0.09678439  0.11112216 -0.02509665 -0.06151213 -0.1340664
  0.04655976 -0.03165968  0.03875398 -0.0861742  -0.04171553  0.07502159
 -0.0020639  -0.04611816  0.16670656  0.03118238  0.09335645 -0.0136621
 -0.01602074 -0.0199612   0.12292437  0.0419117  -0.0158744   0.12423355
  0.04368777  0.03197556 -0.02203074  0.06070385 -0.00198906  0.13256586
  0.00470259  0.03707961  0.02123935 -0.00594045  0.13303022 -0.03803467
 -0.06183528  0.03775713  0.09022509  0.00027513 -0.03902633  0.09641621
  0.05221375  0.01564805  0.08528551  0.0608857  -0.03506173  0.03032727
 -0.05031466  0.02953097  0.01665946 -0.05183917  0.01345686  0.08881966
  0.00604057  0.09211423  0.1458638   0.02490753  0.12667836 -0.04244473
  0.12673385 -0.06766998  0.03587273  0.06606915 -0.09250329  0.09236204
  0.13931257 -0.02083732 -0.05747344 -0.10338236  0.04196491 -0.02616366
 -0.02522968 -0.10061691 -0.00644168  0.069452    0.2081202  -0.04738582
  0.04058303 -0.02218633 -0.04193711 -0.14841941  0.03501907  0.19170655
  0.03200683  0.01677119  0.02605518 -0.03571827]",0.05554278003899358,"['그때', '시절', '옛날', '생각']"
