,cluster,convrs,vec,distance,token
1322,1,홍자가 더 예쁘고 더 보기 좋아 그래서 그걸 듣고 있어,"[-0.14845408  0.18825412 -0.10838713  0.02196097  0.02426878  0.06301249
 -0.02832596  0.04563808  0.06154753  0.13607864 -0.05357176 -0.04872253
 -0.06737333  0.00810772  0.05029095 -0.05766432 -0.09977039  0.01501022
 -0.01339463 -0.16673313  0.13288824 -0.07213896 -0.00820066 -0.11313953
 -0.10099172  0.03669868  0.11084461  0.10335238  0.12903966 -0.12948586
 -0.08117137  0.11975006 -0.16220002 -0.03376469  0.18217832 -0.05181624
  0.13026044 -0.0902138  -0.00223387  0.00770032 -0.10292988  0.03703418
 -0.02833597  0.0712608   0.1142645  -0.06167888  0.04816712 -0.17305574
  0.04712271  0.02271758  0.08983812 -0.04365934 -0.05709983 -0.04309234
  0.03182613 -0.03667796 -0.08325397  0.03730228 -0.10666576 -0.17346774
  0.0567344   0.06161709  0.04495407 -0.00988456 -0.00394425 -0.18432029
 -0.04369557  0.13901061 -0.08476471  0.03014491 -0.1307858   0.00210428
 -0.08375243 -0.05063376  0.03608664 -0.12246007 -0.2053175  -0.07124875
 -0.03054053 -0.10836972  0.03974369  0.02333818  0.1171969   0.04937932
  0.06029212  0.10238746  0.00364729 -0.15646926  0.16336307  0.05370116
 -0.13123424  0.00377318 -0.14183721  0.00431844 -0.004553    0.03980468
 -0.02689364 -0.07669687  0.05832634  0.08967518]",0.3513939024707082,"['홍자', '예쁘']"
1323,1, 그러니까 가수들은 그냥  예쁘니까 그런 줄만 알았더니,"[-0.13883643  0.19096105 -0.10610775  0.02490005  0.06228943  0.16183172
 -0.07729793  0.08027452  0.05559728  0.13263145 -0.06451148 -0.0040518
 -0.07856746 -0.07064458  0.08118732 -0.07544034 -0.11568235  0.05855618
  0.00453177 -0.18643534  0.11132296 -0.10107394  0.00324052 -0.16781852
 -0.10228748  0.02420852  0.13028477  0.16132909  0.10294041 -0.10385109
 -0.08868975  0.12578169 -0.1678657  -0.05752948  0.16983388 -0.08213678
  0.06035643 -0.05273946  0.03973728 -0.04576895 -0.10013397  0.07681849
 -0.04836991  0.03654435  0.15956679 -0.05729766  0.03640053 -0.0634353
  0.07073087  0.06507134  0.10113243 -0.0519858  -0.10031863 -0.10453691
  0.09052189 -0.05035726 -0.10884758  0.08651961 -0.07276748 -0.19527055
  0.07400204  0.03823046  0.09641389  0.05282247 -0.01015623 -0.2498812
 -0.03291383  0.15264311 -0.0249527   0.0089627  -0.06723077 -0.0180964
 -0.06946954 -0.07485732  0.00592931 -0.12259879 -0.18074468 -0.08824516
 -0.05324529 -0.1666552   0.05637486  0.06553454  0.12265     0.0515364
  0.06641227  0.13448058 -0.03067214 -0.20844446  0.12824571  0.07790378
 -0.09353604 -0.07101987 -0.10144063  0.04070709 -0.04389897  0.0424762
 -0.06513466 -0.0372667   0.09461366  0.11785501]",0.3612236694100956,"['가수', '예쁘']"
1324,1,그냥 무작정 예쁘다고 키울 순 없는 것 같은데 큰 애가 키우고 싶다 그래,"[-0.1790797   0.20733027 -0.14669915 -0.00324989  0.06377665  0.0778931
 -0.04718397  0.11941479  0.05290434  0.1811392  -0.06050913 -0.05004863
 -0.09425028 -0.0371326   0.08701684 -0.0665137  -0.08260729  0.06108861
 -0.00936197 -0.19818921  0.16098766 -0.07022353  0.01057989 -0.12427016
 -0.12416685  0.03389017  0.14528237  0.14989683  0.12778261 -0.13718998
 -0.11418682  0.13052526 -0.19026813 -0.07025214  0.16902547 -0.07761249
  0.09129685 -0.09089922  0.0047288   0.0061185  -0.12397251  0.07780887
 -0.03047123  0.11418487  0.12894534 -0.09453812  0.04626689 -0.17496572
  0.07291652  0.03692178  0.09674144 -0.08307606 -0.09566026 -0.06659391
  0.05223426 -0.05504042 -0.146653    0.07839142 -0.1391976  -0.19825806
  0.05540257  0.08953869  0.07412962  0.00933033 -0.00887803 -0.21584766
 -0.02998748  0.16349918 -0.07700338  0.02074033 -0.1582387  -0.02971788
 -0.08847818 -0.06131422  0.08035567 -0.17813215 -0.24352023 -0.10047729
 -0.03999344 -0.14423831  0.07715029  0.05225085  0.14324373  0.05213644
  0.07579262  0.1457427   0.01418453 -0.15616855  0.19034082  0.05164476
 -0.16011381 -0.00703426 -0.18015099  0.00705609 -0.02436162  0.04058785
 -0.02093018 -0.04888253  0.0362526   0.13310418]",0.38036348760306954,"['예쁘', '키우']"
1325,1,맨날 그래서 볼 때마다 귀엽고 나은이도 예쁘고 문희준네도 진짜 예뻐,"[-0.18468346  0.13191234 -0.12534343 -0.0073279   0.05390697  0.07935016
 -0.09984887  0.10853767  0.00692226  0.14862517 -0.03724701 -0.02905203
 -0.07109665  0.01889826  0.04855429 -0.05783482 -0.12005311  0.01131005
 -0.08038101 -0.14899269  0.17260656 -0.07638068  0.02899782 -0.09528934
 -0.09546749  0.02863135  0.13724823  0.17446478  0.16424961 -0.12077032
 -0.04967495  0.10029988 -0.17880918 -0.0349603   0.11893731 -0.03631848
  0.0541103  -0.0516977  -0.016238   -0.06090615 -0.10658703  0.05893677
  0.01281594  0.09279189  0.12772614 -0.07533523  0.06032008 -0.19558363
  0.03184015  0.06442911  0.0933238  -0.05348206 -0.10281244 -0.04475138
  0.04621862 -0.06867098 -0.1827835   0.07859959 -0.12055202 -0.201569
  0.04876768  0.09215866  0.04316889  0.00144748  0.03744393 -0.18451774
 -0.0981508   0.14102764 -0.0952376  -0.03150775 -0.21676025 -0.07186259
 -0.06559362 -0.02636967  0.12793517 -0.17090507 -0.21135297 -0.04123648
 -0.03303875 -0.08725118  0.09866882  0.11320528  0.16736248  0.06740523
  0.03617444  0.1560915   0.04220062 -0.09268511  0.19991581  0.0700658
 -0.17568043  0.06543864 -0.11788651  0.007567   -0.00220616 -0.00361437
  0.04601182 -0.06846269  0.04279299  0.07961311]",0.39795375810443445,"['귀엽', '예쁘', '문희준']"
1326,1,나은이도 예쁘고 건후도 너무 귀엽지 그런데 월리엄만큼 귀엽진 않은 것 같아,"[-1.8289807e-01  1.5038872e-01 -9.4568141e-02  1.0555419e-02
  5.2979190e-02  3.1332970e-02 -8.6429492e-02  7.6776326e-02
  2.4793925e-02  1.4316086e-01 -3.3594817e-02 -4.2115830e-02
 -4.5405876e-02 -6.2810803e-05  5.7311960e-02 -5.3776823e-02
 -1.2706481e-01  2.6895326e-02 -5.6116194e-02 -1.9409205e-01
  1.7544320e-01 -4.6948653e-02  1.2932898e-02 -7.6158673e-02
 -1.2534450e-01  4.6695173e-02  1.3048266e-01  1.5375865e-01
  1.6160616e-01 -1.4042699e-01 -7.2925612e-02  9.5125899e-02
 -1.8275359e-01 -5.9580456e-02  1.5381140e-01 -5.7690613e-02
  9.4310142e-02 -6.2043238e-02 -9.5412945e-03 -3.0528074e-02
 -8.3517224e-02  7.6226123e-02  1.1211940e-02  8.5220404e-02
  1.3163188e-01 -5.6734934e-02  9.8213054e-02 -1.7678133e-01
  7.2364464e-02  8.0576845e-02  8.8088706e-02 -2.5168408e-02
 -1.1475305e-01 -2.3811337e-02  6.4665549e-02 -8.7824665e-02
 -1.3466966e-01  9.9820204e-02 -9.3938366e-02 -1.8657070e-01
  6.0252387e-02  1.1478475e-01  5.8547579e-02 -1.3755662e-02
  2.9978584e-02 -2.2215639e-01 -6.4607553e-02  1.2876225e-01
 -8.1895977e-02 -2.2324027e-02 -1.9494393e-01 -5.4844674e-02
 -7.1255490e-02 -3.3686221e-02  1.0575393e-01 -1.4883938e-01
 -1.9540085e-01 -3.2358978e-02 -3.8071278e-02 -1.0752678e-01
  9.8574728e-02  7.0324063e-02  1.6613707e-01  5.1210120e-02
  4.7170866e-02  1.3151895e-01  3.9602522e-02 -1.0995794e-01
  1.8971953e-01  9.0740927e-02 -1.4737324e-01  4.3123744e-02
 -1.3386919e-01 -2.3864364e-02 -1.3018443e-02 -7.5881360e-03
  5.9166748e-02 -4.2509038e-02  2.0464271e-02  8.7555788e-02]",0.4063300017034074,"['예쁘', '귀엽', '월리엄', '귀엽']"
1327,1,애기는 근데 엄청 예쁘더라 하는 짓도 너무 귀엽더라고,"[-0.15856439  0.1656598  -0.0859763  -0.0238637   0.0569273   0.03994239
 -0.06341295  0.04453324  0.02189614  0.155467   -0.02298612 -0.05436527
 -0.0672194  -0.0086538   0.03838626 -0.02485253 -0.11472516 -0.00036666
 -0.08382965 -0.17737581  0.19626716 -0.03287333  0.00796019 -0.10046835
 -0.1199599   0.04949895  0.13300592  0.1619125   0.15806565 -0.13573058
 -0.0434285   0.10137499 -0.18773714 -0.03673358  0.16808541 -0.04562064
  0.11389422 -0.06166548  0.0002788  -0.04386421 -0.1070342   0.05064208
 -0.01596751  0.05939177  0.12891735 -0.0254462   0.08997787 -0.1928604
  0.06793393  0.06631429  0.12099726 -0.03811256 -0.09079388 -0.01241298
  0.05527132 -0.05011344 -0.13960798  0.05914849 -0.12407544 -0.1805508
  0.06675185  0.11145846  0.03761739 -0.02436349  0.03653301 -0.20501237
 -0.04986287  0.14170115 -0.08543406 -0.01921551 -0.17038952 -0.04111791
 -0.0677871  -0.01745659  0.08170435 -0.12645233 -0.19553049 -0.03847947
 -0.02948876 -0.11837171  0.07737257  0.05772503  0.13785882  0.04454547
  0.04626121  0.1155824   0.05463082 -0.10555578  0.19588338  0.08255377
 -0.17124403  0.05228946 -0.11252102 -0.01785502 -0.00582245 -0.01113512
  0.05838014 -0.05220754  0.01632498  0.08569553]",0.44529669563805896,"['애기', '예쁘', '귀엽']"
1328,1,윌리엄이 왜 예쁘냐면 걔는 속에 있는 말을 하잖아 귀엽기도 하고,"[-0.14347237  0.15073282 -0.08124831 -0.0136764   0.01841473  0.01865505
 -0.05641061  0.07962268  0.0083999   0.09779824 -0.00678628 -0.01543594
 -0.02624453  0.02800241  0.01747639 -0.04177387 -0.07847214  0.03379562
 -0.04495923 -0.11957584  0.12703775 -0.03685714 -0.0054954  -0.06746282
 -0.05563856  0.03642428  0.08182374  0.09763923  0.11241625 -0.11858119
 -0.04852936  0.08206529 -0.11323094 -0.05687263  0.13388328 -0.05651525
  0.09643787 -0.05278236 -0.00664293 -0.03441826 -0.06207186  0.01323033
  0.00221415  0.04316569  0.10119268 -0.05693831  0.09292804 -0.14806896
  0.03503695  0.04311688  0.08025568 -0.02023856 -0.0623373  -0.00589439
  0.04156067 -0.08852828 -0.09956323  0.07114671 -0.0744929  -0.15926608
  0.03625626  0.05829751  0.0468049   0.00164611  0.01379168 -0.14895879
 -0.07345434  0.12895942 -0.08455738 -0.01414346 -0.16867594 -0.02179498
 -0.05855212 -0.03967595  0.07099737 -0.08347402 -0.15451127 -0.03523208
 -0.01739431 -0.0814947   0.07078511  0.06214291  0.10688772  0.03081903
  0.02680002  0.09158274  0.04882534 -0.09174885  0.14040676  0.07521991
 -0.09041007  0.03605812 -0.11772419 -0.01643695  0.00986334 -0.03506416
  0.06100748 -0.00593516  0.0206772   0.04946254]",0.45261846254157395,"['윌리엄', '예쁘', '귀엽']"
1329,1,그래서 월리엄이 나는 너무 예쁘고 건후도 점점 예뻐지는 것 같아,"[-0.20844403  0.18052204 -0.1529009  -0.0090787   0.06593055  0.08729973
 -0.05885152  0.12644657  0.00472742  0.17890665 -0.06956264 -0.01592384
 -0.10036535  0.05247883  0.06075178 -0.06838337 -0.11750061  0.04714759
 -0.0490038  -0.10635318  0.15958677 -0.10990509  0.04002473 -0.1340859
 -0.09803929  0.02956093  0.1495984   0.13787954  0.14652598 -0.13719776
 -0.08383733  0.15871905 -0.16974217 -0.02380252  0.14464861 -0.0239981
  0.07379194 -0.10507452 -0.01615759 -0.01345808 -0.16586423  0.02115198
  0.00836025  0.10420631  0.10682369 -0.12089641  0.01796694 -0.19913416
  0.00263465  0.02157126  0.09222497 -0.05403559 -0.09038975 -0.09666629
  0.03457171 -0.04171266 -0.15127651  0.03254092 -0.13818558 -0.21931434
  0.06809372  0.03471038  0.0321686  -0.00109758 -0.0072035  -0.16556941
 -0.0954827   0.15933736 -0.10317053  0.00645234 -0.20146537 -0.07286488
 -0.06678154 -0.0312899   0.10921326 -0.19604704 -0.27846614 -0.09593892
 -0.05292133 -0.08697915  0.06829214  0.09829284  0.10356379  0.0275446
  0.07395243  0.14667101  0.04686569 -0.12075068  0.21018578  0.02789201
 -0.19855696  0.04134725 -0.18543708  0.04524272  0.00872009  0.06467104
 -0.02491849 -0.09193895  0.06726594  0.06636351]",0.45461183895344415,"['월리엄', '예쁘']"
1330,1,요즘 또 그 미스트롯인가 송가인 진짜 너무 예쁘더라,"[-0.13338669  0.2091362  -0.0867901   0.04969908  0.07630473  0.01539338
 -0.06877674  0.03100751  0.07560933  0.1388902  -0.04640745 -0.0847932
 -0.06877698 -0.01152303  0.08533611 -0.04996287 -0.11521786  0.02535691
  0.02035342 -0.21921557  0.18637034 -0.02610106  0.01249042 -0.12327501
 -0.14228603  0.0494878   0.07393548  0.149936    0.21685392 -0.18556525
 -0.10978217  0.14241217 -0.2567494  -0.04256949  0.18293706 -0.05091556
  0.12115059  0.00116017 -0.00727885  0.03970592 -0.11249873  0.09242784
 -0.03564904  0.11157636  0.11523844 -0.10803004  0.05730433 -0.18100125
  0.07318529  0.04150108  0.07487708 -0.04811236 -0.10171288 -0.04384394
  0.06964108 -0.04007531 -0.06717588  0.07260755 -0.07770143 -0.17808393
  0.01296807  0.16799891  0.09337442  0.02911438  0.04768259 -0.20911962
 -0.08301609  0.1402406  -0.10493691 -0.01181568 -0.15237111  0.05305133
 -0.10002732 -0.04906125  0.11342783 -0.17597003 -0.20317423 -0.02722567
 -0.01998935 -0.12197351  0.10114013  0.03564876  0.09451329  0.11103588
  0.07901993  0.13639204  0.00431825 -0.20062959  0.1903606   0.07592813
 -0.15344526 -0.002304   -0.1510303   0.01880882 -0.06554382  0.00807876
 -0.02766318 -0.09781984  0.04094617  0.15872936]",0.4625551080532211,"['미스', '트롯', '송가', '예쁘']"
1331,1,나도 그런데 그 연속극도 좋지만 나는 연예인들 가수들이 있잖아,"[-0.10736424  0.1914571  -0.09458935  0.03827821 -0.03891223  0.1360361
 -0.10096534  0.06534018  0.10188108  0.07940899 -0.01939687 -0.04726579
 -0.08853126 -0.137442    0.09659238 -0.06537243 -0.0906431   0.01425713
  0.05529537 -0.22236916  0.08614719 -0.058539   -0.05708    -0.13719924
 -0.06112503  0.04361855  0.12482172  0.12224039  0.10477258 -0.0891374
 -0.0738327   0.09004503 -0.14007682 -0.07596732  0.1732439  -0.07371352
  0.08150804 -0.0606688   0.04835597  0.03495945 -0.03330328  0.13254677
 -0.05953142 -0.02906074  0.12280545 -0.05536456  0.13645719 -0.1093317
  0.07734114  0.07469496  0.06803001 -0.06473374 -0.10359227 -0.07646135
  0.09169408 -0.1028315  -0.0832893   0.18379098 -0.09722265 -0.16699715
  0.11611957  0.10847916  0.07348692  0.02433305  0.03238501 -0.33613187
  0.01323457  0.10635763 -0.02754187  0.04529091 -0.07619759  0.02309831
 -0.11704309 -0.08603026  0.00883138 -0.12079068 -0.13380864 -0.07106056
 -0.03742778 -0.16948433  0.04123707 -0.02585974  0.17747751  0.09906895
  0.06433277  0.12379543 -0.09815609 -0.1892884   0.09782784  0.08728345
 -0.02719786 -0.07404574 -0.08683963  0.00425788 -0.0249335   0.00119817
 -0.05007903  0.02997486  0.06610385  0.14804718]",0.4785678838472919,"['연속극', '연예인', '가수']"
